trial,in_mask,out_mask,count_zero,prob,abs_bias,z,exceeds_threshold,timestamp
468,524b9c99ecc967bbfaadd388facd05bb,e2187efb17ee921bb47b7e1db4f29301,25012,0.500240,0.000240,+0.107,0,2026-07-07T10:17:03
469,007c203e5e4ab3a95698680c8741b996,d435e5a07339b35113735a4ff702a42d,24898,0.497960,0.002040,-0.912,0,2026-07-07T10:17:04
470,c8d9d9a0f812ee13841dbaa4066b0893,8ebf4b264f43a2007a55b27c7f25119b,25005,0.500100,0.000100,+0.045,0,2026-07-07T10:17:05
471,f5243b3c7325f9cc1693f8aaaacccaa0,b651ac82268da2c517ddfee12f3d2ce1,25122,0.502440,0.002440,+1.091,0,2026-07-07T10:17:05
472,fdae805a46a226162c4fb0844908af04,15abded0e6ade9e8b4671f024ea96825,25042,0.500840,0.000840,+0.376,0,2026-07-07T10:17:06
473,04d00491af4ac85b446671814ec5973a,4540369a7d9ac87014e6f24be0c97f06,25027,0.500540,0.000540,+0.241,0,2026-07-07T10:17:06
474,ed5123923782a59f5e4e8df247c26459,10d69c7ccfd106cd9e628f5803411b16,25019,0.500380,0.000380,+0.170,0,2026-07-07T10:17:07
475,b2db7d0652a967b2f165b32e9bffb7fb,9143c5e13242b2a67a3a3505a4348c7c,24898,0.497960,0.002040,-0.912,0,2026-07-07T10:17:07
476,751ab276a6808e3735242e3002c81904,5d572d1684369e00b9acb11d8c32a2be,25115,0.502300,0.002300,+1.029,0,2026-07-07T10:17:08
477,20e9e179d6a18116f4448f6fff36b0eb,8bb72d11e8dc869795117c5cb3f26031,24965,0.499300,0.000700,-0.313,0,2026-07-07T10:17:08
478,f781d2d10d31306ec595a63266ffa8ee,fd3204d8c6bfd34dac86c241dbef046b,24962,0.499240,0.000760,-0.340,0,2026-07-07T10:17:09
479,adfa22c53e31398bd7ad348eed9736c0,f344c6e4198f4c80cd4ccf35ab1699aa,25097,0.501940,0.001940,+0.868,0,2026-07-07T10:17:10
480,bd68107d6740b903b29b67e9414feffc,99d54049f9d454869a6f07a7381b063b,25136,0.502720,0.002720,+1.216,0,2026-07-07T10:17:10
481,790da738d1e644d6e0240db2e46d8c42,2fd6e6adec950e9fc1ee0873274e2304,24918,0.498360,0.001640,-0.733,0,2026-07-07T10:17:11
